"can","index","on","qc","ab","bc","ns","sk","nl","mb","nb"
103956,106,35912,55458,7996,2865,1065,796,261,325,166
104325,107,36027,55524,8067,2875,1066,805,261,325,166
104501,108,36191,55593,8108,2875,1066,806,262,325,166
104744,109,36443,55682,8108,2875,1066,808,262,330,167
105036,110,36681,55784,8202,2899,1066,813,262,330,168
105683,111,36832,55863,8259,2910,1066,815,262,331,168
105962,112,36956,55937,8259,2910,1066,816,262,336,168
106153,113,37115,55997,8259,2934,1066,836,262,336,168
106510,114,37280,56079,8389,2947,1067,867,262,336,169
106835,115,37396,56216,8436,2947,1067,872,262,354,170
107056,116,37520,56316,8482,2947,1067,877,262,366,170
107261,117,37704,56407,8519,2978,1067,919,262,374,170
107690,118,37788,56521,8596,2990,1067,932,262,375,170
107894,119,37952,56621,8596,3008,1067,938,263,384,170
108207,120,38073,56730,8596,3028,1067,943,264,384,170
108529,121,38192,56859,8826,3053,1067,962,264,384,170
108853,122,38273,57001,8912,3053,1067,970,265,399,170
109026,123,38339,57142,8994,3053,1067,1030,265,404,170
109227,124,38595,57300,9114,3115,1067,1072,266,407,170
109907,125,38678,57466,9219,3128,1067,1099,266,409,170
110210,126,38782,57616,9219,3149,1067,1136,266,415,170
110553,127,38903,57796,9219,3170,1067,1178,266,415,170
111000,128,39046,57938,9587,3197,1067,1208,266,415,170
111436,129,39245,58080,9728,3197,1067,1217,266,415,170
111799,130,39392,58243,9861,3197,1069,1267,266,442,170
112118,131,39546,58414,9973,3296,1069,1305,266,444,174
112927,132,39733,58583,10084,3327,1071,1319,266,474,176
113487,133,39869,58728,10084,3361,1071,1334,266,491,176
114001,134,40012,58897,10084,3391,1071,1342,266,507,176
114471,135,40220,59073,10387,3418,1071,1359,266,542,176
115018,136,40348,59131,10466,3418,1071,1368,267,558,176
115354,137,40452,59312,10599,3418,1071,1376,267,562,177
115670,138,40602,59458,10712,3498,1071,1387,267,578,178
116393,139,40726,59599,10839,3521,1071,1407,268,603,180
116802,140,40819,59722,10839,3562,1071,1430,268,643,180
117298,141,40921,59845,10839,3591,1071,1444,268,660,184
117640,142,41039,60000,10839,3642,1071,1448,268,696,186
118139,143,41148,60133,11144,3642,1071,1477,268,730,186
118409,144,41222,60241,11238,3642,1072,1482,268,747,186
118634,145,41292,60367,11294,3643,1074,1509,268,762,186
118845,146,41418,60471,11430,3788,1074,1539,268,795,186
119580,147,41493,60627,11430,3834,1075,1564,268,829,188
119964,148,41579,60718,11430,3881,1075,1579,268,871,188
120329,149,41670,60813,11687,3933,1076,1580,268,943,189
120755,150,41747,60917,11772,3933,1077,1581,268,992,189
120997,151,41806,61004,11893,3933,1077,1585,268,1017,190
121209,152,41941,61084,11969,4063,1078,1589,268,1042,190
121908,153,42032,61151,12053,4108,1080,1594,268,1064,190
122254,154,42105,61206,12053,4194,1080,1596,268,1096,191
122656,155,42177,61252,12053,4280,1080,1598,268,1151,191
123048,156,42280,61316,12330,4355,1081,1601,268,1185,191
123468,157,42362,61402,12419,4355,1081,1601,269,1213,191
123678,158,42410,61495,12501,4355,1083,1604,269,1231,191
